Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: 5.51568    loss g: -2.69138
GAN: loss d: 5.10681    loss g: -4.34383
GAN: loss d: 5.35233    loss g: -3.33142
GAN: loss d: 5.81497    loss g: -3.71866
GAN: loss d: 6.03483    loss g: -3.66990
GAN: loss d: 5.51453    loss g: -3.07739
GAN: loss d: 3.96705    loss g: -3.69671
GAN: loss d: 5.70979    loss g: -3.91956
GAN: loss d: 5.82096    loss g: -3.67630
GAN: loss d: 5.58111    loss g: -4.28062
GAN: loss d: 5.02095    loss g: -3.91747
GAN: loss d: 4.70601    loss g: -3.88609
GAN: loss d: 5.16113    loss g: -3.30471
GAN: loss d: 4.89404    loss g: -2.24617
GAN: loss d: 5.15503    loss g: -4.42001
GAN: loss d: 5.10738    loss g: -3.01544
GAN: loss d: 6.46376    loss g: -3.57392
GAN: loss d: 6.54152    loss g: -3.11473
GAN: loss d: 6.30033    loss g: -2.73060
GAN: loss d: 6.77201    loss g: -2.98275
GAN: loss d: 5.31283    loss g: -3.29312
GAN: loss d: 5.56240    loss g: -3.99519
GAN: loss d: 6.55210    loss g: -2.62524
GAN: loss d: 6.45451    loss g: -2.65844
GAN: loss d: 6.65090    loss g: -3.00054
GAN: loss d: 6.32028    loss g: -3.19864
GAN: loss d: 7.30468    loss g: -3.45169
GAN: loss d: 6.55181    loss g: -2.95930
GAN: loss d: 6.96643    loss g: -2.10493
GAN: loss d: 6.89366    loss g: -3.57175
GAN: loss d: 6.56169    loss g: -2.73713
GAN: loss d: 6.35600    loss g: -3.39189
GAN: loss d: 6.32506    loss g: -2.68093
GAN: loss d: 6.65752    loss g: -3.38163
GAN: loss d: 6.51581    loss g: -3.09578
GAN: loss d: 6.52740    loss g: -3.18609
GAN: loss d: 6.53575    loss g: -3.18883
GAN: loss d: 6.21429    loss g: -2.92174
GAN: loss d: 6.92805    loss g: -2.81577
GAN: loss d: 6.73673    loss g: -3.24647
GAN: loss d: 6.99166    loss g: -3.02655
GAN: loss d: 7.17631    loss g: -2.92143
GAN: loss d: 6.36106    loss g: -2.85281
GAN: loss d: 6.12335    loss g: -2.84742
GAN: loss d: 6.17596    loss g: -3.07592
GAN: loss d: 6.11737    loss g: -2.98802
GAN: loss d: 5.93497    loss g: -2.93229
GAN: loss d: 7.48990    loss g: -2.56289
GAN: loss d: 6.76736    loss g: -2.65144
GAN: loss d: 7.08500    loss g: -2.90624
GAN: loss d: 6.75253    loss g: -2.92024
GAN: loss d: 7.34358    loss g: -3.34682
GAN: loss d: 7.70689    loss g: -3.61072
GAN: loss d: 6.48616    loss g: -3.14855
GAN: loss d: 7.15622    loss g: -3.38887
GAN: loss d: 7.39551    loss g: -3.48975
GAN: loss d: 7.51508    loss g: -3.54059
GAN: loss d: 7.57065    loss g: -3.53052
GAN: loss d: 7.63182    loss g: -3.07144
GAN: loss d: 7.72711    loss g: -3.18029
GAN: loss d: 6.80480    loss g: -3.42006
GAN: loss d: 6.11788    loss g: -3.38064
GAN: loss d: 7.92101    loss g: -3.59845
GAN: loss d: 7.95289    loss g: -3.44306
GAN: loss d: 8.03864    loss g: -3.42188
